Part,YBHistOrders,YBHistUnits,YBHistSellerRevenue,YBHistProcurementCost,YBHistGross,YBHistAvgSellerNet,YBHistAvgCost,YBHistZeroRevenueOrders,YBHistFirstOrderDate,YBHistLastOrderDate,YBHistMargin
2T-Kayak,9,9.0,747.9499999999999,450.0,253.073,83.10555555555555,50.0,0,2025-08-31 00:00:00,2025-11-29 00:00:00,0.33835550504712886
3T-B,2,2.0,126.0,86.0,32.44,63.0,43.0,0,2025-10-16 00:00:00,2026-02-16 00:00:00,0.25746031746031744
3T-KAYAK,3,3.0,293.7,174.0,102.078,97.89999999999999,58.0,0,2025-10-27 00:00:00,2026-01-05 00:00:00,0.34755873340143006
3T-Kayak,11,11.0,1082.4,638.0,379.456,98.4,58.0,0,2025-08-18 00:00:00,2026-01-12 00:00:00,0.35056910569105687
3T-W,8,8.0,490.0,344.0,116.6,61.25,43.0,0,2026-02-12 00:00:00,2026-06-01 00:00:00,0.23795918367346938
4T-Kayak,42,42.0,5206.6,3150.0,1917.964,123.96666666666667,75.0,0,2025-08-19 00:00:00,2026-06-03 00:00:00,0.36837168209580146
5T-1600-800,2,2.0,153.0,86.0,57.82,76.5,43.0,0,2025-11-02 00:00:00,2025-11-20 00:00:00,0.37790849673202614
5T-1830-1200,18,18.0,2093.0,1224.0,743.42,116.27777777777777,68.0,1,2025-08-31 00:00:00,2026-05-29 00:00:00,0.3551935021500239
5T-1830-900,9,9.0,551.8,405.0,113.69200000000001,61.3111111111111,45.0,2,2025-08-25 00:00:00,2026-05-29 00:00:00,0.2060384197172889
5T-1980-1200,31,31.0,3096.0,1860.0,1110.24,99.87096774193549,60.0,2,2025-08-26 00:00:00,2026-06-04 00:00:00,0.3586046511627907
5T-DONG-198-120,3,3.0,292.6,195.0,80.044,97.53333333333335,65.0,0,2025-10-04 00:00:00,2025-11-18 00:00:00,0.2735611756664388
5T-Niudun,3,3.0,178.2,135.0,32.508,59.4,45.0,0,2025-09-16 00:00:00,2026-03-12 00:00:00,0.18242424242424246
5T-dong-183-120,23,24.0,2212.08,1824.0,255.35519999999997,91.48173913043478,76.0,3,2025-09-13 00:00:00,2026-03-22 00:00:00,0.1154366930671585
5T-dong-198-120,3,3.0,198.0,195.0,-8.880000000000003,66.0,65.0,1,2025-09-20 22:39:06,2025-12-29 00:00:00,-0.04484848484848486
5T-wangge,3,3.0,0.0,135.0,-135.0,0.0,45.0,3,2025-09-20 22:43:03,2025-09-20 23:40:05,
6T-2095-122,12,12.0,1470.0,840.0,541.8,122.5,70.0,1,2025-09-20 20:46:02,2026-05-06 00:00:00,0.36857142857142855
CW12S0768,1,1.0,25.0,0.0,0.0,25.0,,0,2025-12-15 00:00:00,2025-12-15 00:00:00,0.0
LFC-2B,36,36.0,4155.3,2714.4,1256.5120000000002,115.42500000000001,75.4,1,2025-12-01 00:00:00,2026-06-03 00:00:00,0.302387793901764
LFC-2B-680,56,57.0,5920.8,3659.4,1906.152,103.90714285714286,64.2,1,2025-11-14 00:00:00,2026-06-03 00:00:00,0.32194162950952576
LFC-2W,16,16.0,1669.95,1206.4,363.353,104.371875,75.4,2,2025-11-16 00:00:00,2026-05-18 00:00:00,0.21758316117249019
LFC-2W-680,61,61.0,6330.0,3916.2000000000003,2034.0,103.77049180327869,64.2,1,2025-11-17 00:00:00,2026-06-04 00:00:00,0.32132701421800947
LFC-3B,23,23.0,3123.25,2081.04,854.815,135.79347826086956,90.48,0,2025-12-08 00:00:00,2026-05-19 00:00:00,0.27369406867845997
LFC-3W,51,50.0,6545.65,4547.0,1638.816,128.34607843137255,90.94,3,2025-11-19 00:00:00,2026-05-18 00:00:00,0.2503671904241749
